Id,PostId,RelatedPostId,LinkTypeId
301603,26565,13490,1
301676,18848,25502,1
302164,26623,17759,1
302266,26597,15903,1
302282,26516,26411,1
302283,26633,155,1
302385,26656,22086,1
302892,26674,26454,1
303035,16182,25315,1
303061,26751,25407,1
303252,26775,9758,1
303537,26818,22,1
306953,26842,869,1
307232,26838,15903,1
307270,26844,26854,1
307276,26843,25315,1
307285,26836,15903,1
307286,26836,26597,1
307676,26886,11928,1
309225,26618,21889,1
309482,26789,2646,1
309675,26618,15903,1
309676,26618,26597,1
309910,27038,9823,1
310166,27056,15903,1
310290,27081,3699,1
311234,24722,27147,1
311337,27105,25209,1
311930,27193,15903,1
311931,27193,26597,1
312298,27234,5990,1
312299,27234,13567,1
312348,26674,27082,1
312798,27262,26290,1
312799,27262,26382,1
312904,27286,8847,1
313260,27311,20535,1
313270,24722,9850,1
313543,27340,10615,1
313652,27348,128,1
315753,14042,27446,1
316022,17839,27436,1
316165,27307,21896,1
316241,27454,26597,1
317916,27520,869,1
318515,27542,12554,1
318639,27539,27012,1
319380,27563,27533,1
321762,27665,23493,1
321916,27671,19553,1
322660,27694,15903,1
323508,27713,17921,1
323509,27713,15016,1
323682,27709,19392,1
323683,27709,18481,1
323997,27725,27012,1
323998,27725,27539,1
324393,27753,19392,1
324394,27753,18481,1
324635,19553,27671,1
325372,27792,15257,1
325599,27628,10615,1
326805,26643,27866,1
327231,27874,27631,1
327266,27888,27671,1
328474,27927,25268,1
329593,27958,27898,1
329995,27972,27923,1
330371,27972,27923,3
330372,27958,27898,3
330804,28025,12919,1
330862,28030,27795,1
330892,28035,17286,1
331639,28087,12909,1
331779,28013,27829,1
331832,28070,26597,1
332562,28131,28156,1
333357,28192,18123,1
334474,28247,28002,1
334674,28244,15903,1
334675,28244,26597,1
334737,28253,26419,1
335168,28187,24319,1
335788,16342,9488,1
337534,28353,27957,1
337815,28360,27671,1
337831,28339,27959,1
338123,28383,27625,1
338236,17368,26958,1
339406,28455,26449,1
340225,28506,4942,1
341605,24534,28411,1
343588,28719,26874,1
343847,28747,28691,1
344096,28775,28383,1
344177,28800,18572,1
344293,28810,28747,1
344630,28822,25315,1
344887,28810,28884,1
344908,28884,28411,1
344913,28877,26597,1
345079,28512,28383,1
345969,28958,24610,1
345970,28958,24905,1
346168,28958,28360,1
346346,28958,24905,3
346347,28958,28360,3
346485,29000,28383,1
346547,29006,130,1
346608,28999,17099,1
347004,29044,28884,1
347748,29117,8542,1
348051,29139,29006,1
348141,29142,26449,1
349494,29241,15903,1
349549,29249,19051,1
349699,29266,28932,1
350103,29287,3738,1
359019,29287,13445,1
359250,29361,26042,1
360550,29409,17860,1
361574,29467,23614,1
361701,23969,24402,1
361899,29471,23287,1
361900,29471,24534,1
362535,29480,27964,1
364165,29507,15903,1
364166,29507,27236,1
364694,29521,28884,1
365480,26655,28656,1
366960,29521,26597,1
367077,29564,27648,1
367265,29569,29408,1
368381,29621,29411,1
372531,29740,6835,1
377040,28575,21896,1
377041,28575,18802,1
377819,29855,28411,1
378609,29879,27012,1
380006,29923,744,1
380040,29928,1107,1
380995,29964,17288,1
382233,29999,313,1
382426,30004,28574,1
385660,30013,16693,1
386325,24608,25317,1
387874,30013,25268,1
387875,30013,26714,1
387922,30121,28383,1
389162,30167,23196,1
389920,28792,27563,1
391552,30168,24752,1
393043,27354,10103,1
393408,30313,26854,1
395204,30340,26854,1
396929,30402,29908,1
396930,30401,18339,1
396931,30320,28491,1
396932,30320,29411,1
397604,30439,28310,1
400664,20321,28637,1
402602,30603,26597,1
402817,26955,29520,1
405067,22853,24534,1
405259,30683,10077,1
406997,30703,28656,1
407031,30610,22,1
407064,30714,26938,1
407974,30789,30302,1
408223,30765,30786,1
408427,27347,30790,1
409315,30856,30302,1
409909,30876,26854,1
410263,30901,22853,1
410283,30904,13746,1
410625,30921,18647,1
410867,30610,30930,1
411629,24494,17671,1
411978,30944,30859,1
412925,30944,28383,1
413001,30989,18802,1
413002,30989,10926,1
413016,30989,13061,1
413017,30989,17987,1
416134,31071,20237,1
416565,31080,26597,1
417841,31129,9488,1
