Id,PostId,RelatedPostId,LinkTypeId
221204,14408,57,1
221205,14408,192,1
221206,14408,1643,1
221357,14420,14426,1
221411,14397,1331,1
221412,14397,11018,1
221690,14450,368,1
221691,14450,1913,1
221829,14464,6801,1
221834,14464,6801,3
221919,14428,1031,3
221920,14428,813,1
222124,14493,11787,1
222125,14493,9442,1
222403,14521,265,1
222473,14527,307,1
222579,14545,10768,1
222589,14543,2789,1
222590,14543,2789,3
222681,14559,1031,1
222696,14555,12943,1
222800,14567,57,1
223023,14583,109,1
223173,14583,4888,1
223360,14619,7056,1
223366,14618,2789,1
223627,14567,57,3
223646,14642,14565,1
223668,14642,192,3
223800,14653,9181,1
223922,14663,10548,1
223952,14640,13188,1
223953,14640,6521,1
224083,14663,10548,3
224095,14653,9181,3
224158,14674,2155,1
224159,14674,2638,1
224160,14674,9756,1
224161,14674,11413,1
224260,14687,1494,1
224330,14697,4734,1
224882,14527,265,1
224968,14774,14761,3
225198,14742,1494,1
225199,14742,11263,1
225231,14775,2789,1
225241,14788,11181,1
225242,14788,367,1
225243,14788,11181,3
225341,14812,2320,1
225811,14765,9556,1
226543,14916,11155,1
226560,14880,2814,1
226699,14936,2789,3
226721,14937,982,1
226722,14937,473,1
226771,14902,1877,1
226888,14963,14902,1
227261,14976,15000,1
227281,15000,14976,1
227286,15000,14976,3
227295,14998,14902,1
227298,14945,9556,1
227299,14945,1477,1
227347,15004,7409,1
227660,15026,12041,1
228847,16051,15017,1
228849,15017,451,1
228948,16051,3,1
229036,16076,14998,1
229199,14963,14902,3
229339,16113,265,1
229848,16076,16165,1
229859,16165,14998,1
229860,16165,16076,1
229861,16165,16166,1
229863,16076,16166,1
229882,16166,14998,1
229883,16166,16076,1
229884,16166,16165,1
229946,16165,16175,1
229947,16076,16175,1
229948,16166,16175,1
229955,16175,14998,1
229956,16175,16076,1
229957,16175,16165,1
229958,16175,16166,1
229995,16175,16177,1
229996,16076,16177,1
229998,16165,16177,1
230000,16166,16177,1
230274,16210,4913,1
230291,16177,14998,1
230292,16177,16076,1
230293,16177,16165,1
230294,16177,16166,1
230295,16177,16175,1
230793,16231,2320,1
230954,16269,16259,1
230963,16245,16269,1
231068,16283,11018,1
231199,16259,16269,1
231314,16283,11018,3
231730,16364,1031,3
231765,16365,13679,1
231893,16371,11120,1
231895,16375,13188,1
231913,16386,11120,1
231914,16386,16371,1
232167,16415,10605,1
232635,16439,16269,1
232668,16434,1045,1
233006,16482,1031,1
233026,16482,1031,3
233035,16346,57,1
233054,14552,11558,1
233233,16496,12017,1
233268,14687,1494,3
233517,16496,12017,3
233742,16575,3458,1
233797,16578,16585,1
233819,16585,16578,1
234234,16626,16418,1
234333,16634,16483,1
234393,16608,11315,1
234579,11418,9034,1
234681,16666,265,1
234763,16678,16608,1
234817,16678,16608,3
234899,16691,16682,1
234914,16693,16513,3
235074,16695,10013,1
235213,16695,1031,1
235306,16721,16717,1
235400,16729,1868,1
235401,16729,10280,1
235402,16729,11514,1
235403,16722,11181,3
235441,16722,11181,1
235544,16735,11787,1
235547,16753,307,1
235588,16735,14837,1
235860,14210,14228,1
235861,14228,14210,1
236083,16661,16809,1
236084,16809,16661,1
236165,16817,16672,1
236171,16783,57,1
236237,16807,9556,1
236240,16807,9556,3
236241,16787,11315,1
236242,16781,57,1
236244,16781,824,1
236245,16781,16783,1
236294,16826,16661,1
236295,16826,16809,1
236321,16809,16826,1
236322,16783,824,1
236352,16735,14837,3
236353,16735,13282,3
236354,16823,10274,1
237578,16853,12857,1
237617,17853,11315,1
237627,17854,9923,1
237628,17854,16143,1
237975,17881,17883,1
238064,17890,2789,1
238210,17887,265,1
238295,17881,17883,3
238296,15026,12041,3
238297,17890,2789,3
238298,17890,57,1
238344,2789,17916,1
238401,17921,265,1
238450,17917,3078,1
238665,16661,16826,1
239000,16816,13188,1
239011,17980,10732,1
239062,17994,3381,1
239063,17994,6063,1
239064,17994,13464,1
239065,17994,9389,1
239066,17992,2789,1
239074,17992,2789,3
239077,17966,2528,1
239113,16357,2783,1
239130,17977,266,3
239778,18051,18041,1
239898,18062,18010,1
240118,17980,10732,3
240130,18089,17917,1
240213,18095,18083,1
240289,18100,1031,1
240400,18107,824,1
240401,18107,57,1
240698,18069,16753,1
240699,18069,307,1
240715,18085,57,1
240745,18069,307,3
241098,14591,2450,1
241225,18168,16321,1
241404,11780,11787,1
241483,18210,10357,1
241697,18223,13202,1
241824,18235,18203,1
242316,18278,3381,1
242423,18283,192,1
242435,18288,18254,1
242492,18295,9556,1
242780,18107,824,3
243251,18346,249,1
243426,18335,1527,1
243690,18393,18333,1
243858,18278,3381,3
244056,18403,18233,3
244583,18493,16775,1
244770,18509,3251,1
244891,18524,265,1
244892,18524,1331,1
244903,18517,1331,1
244904,18517,1031,1
245016,18534,57,1
245087,18526,2811,3
245102,18532,11777,1
245264,18553,10485,1
245373,18553,10485,3
245376,18550,1331,1
245377,18550,1031,1
245378,18550,265,1
245379,18550,11315,1
245380,18550,11181,1
245405,18556,265,1
245413,18556,11315,1
245472,18575,939,1
245475,18475,1331,3
245477,18319,2789,3
245478,18517,1031,3
245500,18577,3381,1
245557,18581,6371,1
245575,18536,3,1
245617,18574,13188,1
245892,18616,10897,1
245893,18616,14498,1
246183,18646,18610,1
246331,18662,4915,3
246340,18648,6063,1
246400,18672,16713,1
246489,18677,18643,1
246516,18684,18611,1
246833,18693,10981,1
246852,18715,18681,1
247129,18730,17939,1
247157,18744,18734,1
247333,18759,9299,1
247349,18759,57,1
247370,18764,11181,3
247600,18769,1240,1
247657,18785,2837,1
247911,18798,11315,1
247912,18798,10605,1
247913,18798,16787,1
247923,18785,2837,3
247961,18808,18810,3
248184,11197,7759,3
248331,18856,18689,1
248353,18853,10971,3
248788,18913,18355,1
248789,18900,57,1
248790,18900,2789,1
248792,18913,1331,1
248800,18908,18765,1
248820,18921,14139,1
248834,18922,824,1
248836,18910,3149,1
248968,18923,14139,1
249096,18947,2814,3
249104,18921,14139,3
249135,18943,16503,1
249251,18954,3390,1
249329,18958,1331,1
249330,18958,1031,1
249806,19013,2336,1
249859,18798,11315,3
249860,18770,9703,3
249990,19035,307,1
249996,19026,2837,3
250014,19034,57,1
250151,19049,12048,1
250152,19049,10728,1
250153,19049,2204,1
250266,18958,1331,3
250588,19073,1331,1
251074,19126,10971,1
251418,19159,265,1
252059,19151,19218,1
252696,19266,19151,1
252727,19280,824,1
252728,19279,18524,1
252729,19279,1331,1
252777,19266,19218,1
252829,19279,1331,3
252974,18281,13139,1
253544,19333,12102,1
253582,19342,16703,1
253676,19261,19361,3
253713,19357,19171,3
253773,19151,307,1
253822,19250,8952,1
253931,19371,19250,1
254089,19378,12102,1
254369,19404,10538,1
254415,19405,19306,1
254531,302,341,1
254535,19430,302,1
254539,302,19430,1
255052,19476,12003,1
255054,19473,1031,1
255057,19412,1477,1
255230,19427,16138,1
255231,19427,9556,1
255272,19480,4800,1
255273,19480,2994,1
255274,19480,3306,1
255275,19480,4800,3
255348,19490,19463,1
255552,19497,6913,1
255833,19405,19306,3
255834,18281,13139,3
256056,19518,57,1
256369,19536,11181,3
256547,19561,9556,3
256749,19574,19562,1
256899,19577,266,1
257011,19591,991,1
257346,19616,9556,1
257347,19616,9556,3
257457,19628,19599,1
257495,19633,6456,1
257511,19633,6456,3
257725,19652,11232,1
257894,19638,19663,1
257971,19643,1647,1
258067,19676,991,1
258171,19663,19638,1
258288,19687,19686,1
258334,19694,3286,1
258335,19694,14278,1
258336,19694,9586,1
258381,19698,13313,1
258500,19703,19710,3
258601,19717,3482,1
258626,19717,6410,1
258857,17973,18989,1
